timestamp,load_kw,pv_kw,price_per_kWh,gCO2/kWh,net_load_kw
2026-08-01 00:00:00-07:00,108.335,0.0,0.21499,368.45,108.335
2026-08-01 00:15:00-07:00,105.465,0.0,0.21993,370.76,105.465
2026-08-01 00:30:00-07:00,106.696,0.0,0.22031,382.18,106.696
2026-08-01 00:45:00-07:00,105.98,0.0,0.22039,379.57,105.98
2026-08-01 01:00:00-07:00,112.688,0.0,0.2228,387.6,112.688
2026-08-01 01:15:00-07:00,108.048,0.0,0.2138,383.23,108.048
2026-08-01 01:30:00-07:00,106.55,0.0,0.21533,390.32,106.55
2026-08-01 01:45:00-07:00,109.106,0.0,0.22066,383.0,109.106
2026-08-01 02:00:00-07:00,109.739,0.0,0.22271,387.64,109.739
2026-08-01 02:15:00-07:00,110.421,0.0,0.21413,393.9,110.421
2026-08-01 02:30:00-07:00,108.305,0.0,0.21865,390.36,108.305
2026-08-01 02:45:00-07:00,109.377,0.0,0.23035,376.92,109.377
2026-08-01 03:00:00-07:00,111.504,0.0,0.2203,391.03,111.504
2026-08-01 03:15:00-07:00,115.313,0.0,0.22089,380.18,115.313
2026-08-01 03:30:00-07:00,107.711,0.0,0.22114,377.54,107.711
2026-08-01 03:45:00-07:00,112.374,0.0,0.22421,380.68,112.374
2026-08-01 04:00:00-07:00,109.319,0.0,0.23409,368.86,109.319
2026-08-01 04:15:00-07:00,111.543,0.0,0.2231,369.81,111.543
2026-08-01 04:30:00-07:00,107.45,0.0,0.22074,355.71,107.45
2026-08-01 04:45:00-07:00,114.132,0.0,0.22163,344.23,114.132
2026-08-01 05:00:00-07:00,107.756,0.0,0.22087,341.91,107.756
2026-08-01 05:15:00-07:00,110.225,0.0,0.21329,328.27,110.225
2026-08-01 05:30:00-07:00,106.417,0.0,0.20975,334.84,106.417
2026-08-01 05:45:00-07:00,115.507,0.0,0.21948,314.67,115.507
2026-08-01 06:00:00-07:00,120.947,0.0,0.21769,324.05,120.947
2026-08-01 06:15:00-07:00,123.632,0.0,0.20351,320.59,123.632
2026-08-01 06:30:00-07:00,126.775,5.968,0.2243,288.15,120.807
2026-08-01 06:45:00-07:00,129.574,13.345,0.22979,290.9,116.229
2026-08-01 07:00:00-07:00,128.255,21.928,0.21098,287.89,106.327
2026-08-01 07:15:00-07:00,135.307,31.004,0.21528,271.43,104.303
2026-08-01 07:30:00-07:00,131.383,40.872,0.22364,278.22,90.511
2026-08-01 07:45:00-07:00,137.557,51.324,0.2265,270.28,86.233
2026-08-01 08:00:00-07:00,136.353,58.395,0.21883,254.43,77.958
2026-08-01 08:15:00-07:00,134.985,62.98,0.21775,262.03,72.005
2026-08-01 08:30:00-07:00,142.996,73.141,0.22152,255.79,69.855
2026-08-01 08:45:00-07:00,143.248,86.721,0.21735,253.94,56.527
2026-08-01 09:00:00-07:00,144.293,91.247,0.14441,236.56,53.046
2026-08-01 09:15:00-07:00,142.24,103.7,0.14339,245.37,38.54
2026-08-01 09:30:00-07:00,147.731,113.641,0.13264,249.42,34.09
2026-08-01 09:45:00-07:00,145.326,110.203,0.1432,226.54,35.123
2026-08-01 10:00:00-07:00,151.928,125.013,0.14707,230.14,26.915
2026-08-01 10:15:00-07:00,150.517,123.74,0.13615,232.83,26.777
2026-08-01 10:30:00-07:00,150.232,140.238,0.15038,216.87,9.994
2026-08-01 10:45:00-07:00,151.394,139.578,0.14975,223.88,11.816
2026-08-01 11:00:00-07:00,150.855,140.358,0.13274,212.03,10.497
2026-08-01 11:15:00-07:00,149.527,151.752,0.13406,198.14,-2.225
2026-08-01 11:30:00-07:00,155.058,154.041,0.13206,218.0,1.017
2026-08-01 11:45:00-07:00,152.035,165.797,0.14197,207.6,-13.762
2026-08-01 12:00:00-07:00,149.678,173.211,0.14518,209.4,-23.533
2026-08-01 12:15:00-07:00,151.58,172.727,0.1413,211.51,-21.147
2026-08-01 12:30:00-07:00,157.692,171.356,0.15019,212.47,-13.664
2026-08-01 12:45:00-07:00,155.049,169.099,0.14478,194.72,-14.05
2026-08-01 13:00:00-07:00,150.469,173.127,0.14293,208.52,-22.658
2026-08-01 13:15:00-07:00,156.753,168.848,0.13072,213.91,-12.095
2026-08-01 13:30:00-07:00,149.839,164.715,0.13292,202.9,-14.876
2026-08-01 13:45:00-07:00,156.129,172.955,0.14698,216.27,-16.826
2026-08-01 14:00:00-07:00,155.154,165.308,0.22206,212.64,-10.154
2026-08-01 14:15:00-07:00,154.973,162.285,0.2302,218.98,-7.312
2026-08-01 14:30:00-07:00,151.017,159.513,0.22675,206.81,-8.496
2026-08-01 14:45:00-07:00,154.783,146.838,0.22971,216.04,7.945
2026-08-01 15:00:00-07:00,152.186,145.03,0.22382,207.26,7.156
2026-08-01 15:15:00-07:00,151.703,149.02,0.20781,220.41,2.683
2026-08-01 15:30:00-07:00,151.557,136.986,0.22339,234.37,14.571
2026-08-01 15:45:00-07:00,147.689,134.177,0.22452,233.4,13.512
2026-08-01 16:00:00-07:00,151.02,126.414,0.37997,249.63,24.606
2026-08-01 16:15:00-07:00,149.59,112.607,0.38207,257.86,36.983
2026-08-01 16:30:00-07:00,145.691,113.894,0.38228,265.42,31.797
2026-08-01 16:45:00-07:00,138.028,98.783,0.37687,272.91,39.245
2026-08-01 17:00:00-07:00,144.281,94.815,0.37512,283.05,49.466
2026-08-01 17:15:00-07:00,141.007,87.511,0.37259,299.28,53.496
2026-08-01 17:30:00-07:00,141.539,82.363,0.37673,308.65,59.176
2026-08-01 17:45:00-07:00,140.311,71.228,0.3832,321.62,69.083
2026-08-01 18:00:00-07:00,141.733,58.094,0.39009,339.85,83.639
2026-08-01 18:15:00-07:00,136.4,53.963,0.37539,346.01,82.437
2026-08-01 18:30:00-07:00,132.949,40.827,0.38129,358.96,92.122
2026-08-01 18:45:00-07:00,133.078,32.527,0.37014,361.54,100.551
2026-08-01 19:00:00-07:00,129.942,26.53,0.37616,369.21,103.412
2026-08-01 19:15:00-07:00,122.24,16.592,0.38656,383.18,105.648
2026-08-01 19:30:00-07:00,125.842,8.773,0.37811,382.54,117.069
2026-08-01 19:45:00-07:00,119.306,2.253,0.3715,383.71,117.053
2026-08-01 20:00:00-07:00,120.454,0.0,0.36672,400.92,120.454
2026-08-01 20:15:00-07:00,114.428,0.0,0.38546,383.78,114.428
2026-08-01 20:30:00-07:00,107.137,0.0,0.37945,384.02,107.137
2026-08-01 20:45:00-07:00,109.344,0.0,0.37861,384.92,109.344
2026-08-01 21:00:00-07:00,114.127,0.0,0.21506,386.61,114.127
2026-08-01 21:15:00-07:00,110.049,0.0,0.22078,380.44,110.049
2026-08-01 21:30:00-07:00,107.711,0.0,0.21934,386.34,107.711
2026-08-01 21:45:00-07:00,109.913,0.0,0.22898,376.43,109.913
2026-08-01 22:00:00-07:00,107.624,0.0,0.2176,380.13,107.624
2026-08-01 22:15:00-07:00,107.5,0.0,0.22419,370.44,107.5
2026-08-01 22:30:00-07:00,105.828,0.0,0.21118,354.31,105.828
2026-08-01 22:45:00-07:00,104.497,0.0,0.21465,347.01,104.497
2026-08-01 23:00:00-07:00,105.887,0.0,0.22477,342.22,105.887
2026-08-01 23:15:00-07:00,111.011,0.0,0.21948,335.87,111.011
2026-08-01 23:30:00-07:00,108.593,0.0,0.22188,335.84,108.593
2026-08-01 23:45:00-07:00,108.486,0.0,0.22319,324.93,108.486
2026-08-02 00:00:00-07:00,111.866,0.0,0.22097,371.3,111.866
2026-08-02 00:15:00-07:00,114.759,0.0,0.22538,371.45,114.759
2026-08-02 00:30:00-07:00,111.234,0.0,0.22153,371.6,111.234
2026-08-02 00:45:00-07:00,107.043,0.0,0.23075,378.4,107.043
2026-08-02 01:00:00-07:00,111.312,0.0,0.21219,380.45,111.312
2026-08-02 01:15:00-07:00,113.459,0.0,0.2282,393.88,113.459
2026-08-02 01:30:00-07:00,108.429,0.0,0.21661,390.75,108.429
2026-08-02 01:45:00-07:00,107.631,0.0,0.21855,399.99,107.631
2026-08-02 02:00:00-07:00,111.431,0.0,0.21207,389.71,111.431
2026-08-02 02:15:00-07:00,109.181,0.0,0.22263,394.89,109.181
2026-08-02 02:30:00-07:00,111.321,0.0,0.22875,384.29,111.321
2026-08-02 02:45:00-07:00,106.389,0.0,0.2139,386.51,106.389
2026-08-02 03:00:00-07:00,110.49,0.0,0.21787,387.46,110.49
2026-08-02 03:15:00-07:00,110.717,0.0,0.22465,378.62,110.717
2026-08-02 03:30:00-07:00,108.446,0.0,0.22286,386.92,108.446
2026-08-02 03:45:00-07:00,107.74,0.0,0.21862,368.47,107.74
2026-08-02 04:00:00-07:00,106.876,0.0,0.21578,368.8,106.876
2026-08-02 04:15:00-07:00,110.608,0.0,0.2146,364.91,110.608
2026-08-02 04:30:00-07:00,111.115,0.0,0.22577,363.32,111.115
2026-08-02 04:45:00-07:00,108.964,0.0,0.22431,349.91,108.964
2026-08-02 05:00:00-07:00,108.936,0.0,0.221,336.6,108.936
2026-08-02 05:15:00-07:00,112.156,0.0,0.21326,335.08,112.156
2026-08-02 05:30:00-07:00,109.19,0.0,0.21931,327.03,109.19
2026-08-02 05:45:00-07:00,115.115,0.0,0.22607,329.94,115.115
2026-08-02 06:00:00-07:00,118.04,0.0,0.22553,328.21,118.04
2026-08-02 06:15:00-07:00,120.596,0.0,0.22812,318.66,120.596
2026-08-02 06:30:00-07:00,127.937,6.443,0.21968,293.35,121.494
2026-08-02 06:45:00-07:00,128.254,14.849,0.22608,288.59,113.405
2026-08-02 07:00:00-07:00,125.511,23.178,0.21112,287.87,102.333
2026-08-02 07:15:00-07:00,129.831,32.449,0.23153,285.34,97.382
2026-08-02 07:30:00-07:00,133.864,39.228,0.21839,270.99,94.636
2026-08-02 07:45:00-07:00,133.462,51.146,0.21511,267.37,82.316
2026-08-02 08:00:00-07:00,136.614,54.251,0.21529,272.47,82.363
2026-08-02 08:15:00-07:00,138.792,63.347,0.22715,267.19,75.445
2026-08-02 08:30:00-07:00,146.264,79.917,0.22241,250.0,66.347
2026-08-02 08:45:00-07:00,141.185,82.774,0.21458,255.96,58.411
2026-08-02 09:00:00-07:00,143.576,89.496,0.13628,242.98,54.08
2026-08-02 09:15:00-07:00,144.991,106.391,0.14425,249.95,38.6
2026-08-02 09:30:00-07:00,151.248,103.477,0.13842,252.63,47.771
2026-08-02 09:45:00-07:00,147.597,118.035,0.14461,246.72,29.562
2026-08-02 10:00:00-07:00,150.594,128.501,0.12997,216.48,22.093
2026-08-02 10:15:00-07:00,153.848,135.247,0.13222,217.07,18.601
2026-08-02 10:30:00-07:00,153.157,129.94,0.13906,229.84,23.217
2026-08-02 10:45:00-07:00,152.187,137.606,0.1428,240.9,14.581
2026-08-02 11:00:00-07:00,152.595,141.415,0.14336,211.8,11.18
2026-08-02 11:15:00-07:00,151.535,145.116,0.13407,204.82,6.419
2026-08-02 11:30:00-07:00,150.96,155.825,0.13669,205.17,-4.865
2026-08-02 11:45:00-07:00,154.302,160.583,0.1404,205.11,-6.281
2026-08-02 12:00:00-07:00,154.08,169.184,0.13184,207.05,-15.104
2026-08-02 12:15:00-07:00,157.959,158.242,0.12701,207.43,-0.283
2026-08-02 12:30:00-07:00,157.241,163.377,0.14156,205.48,-6.136
2026-08-02 12:45:00-07:00,154.311,160.363,0.13787,208.7,-6.052
2026-08-02 13:00:00-07:00,157.782,158.698,0.14305,208.31,-0.916
2026-08-02 13:15:00-07:00,152.384,159.071,0.14241,207.92,-6.687
2026-08-02 13:30:00-07:00,150.882,162.058,0.15248,212.89,-11.176
2026-08-02 13:45:00-07:00,156.294,160.429,0.1396,211.08,-4.135
2026-08-02 14:00:00-07:00,152.454,174.13,0.22391,220.76,-21.676
2026-08-02 14:15:00-07:00,150.603,164.433,0.21749,207.68,-13.83
2026-08-02 14:30:00-07:00,155.988,158.143,0.21676,208.88,-2.155
2026-08-02 14:45:00-07:00,147.439,153.966,0.22717,210.21,-6.527
2026-08-02 15:00:00-07:00,153.746,154.647,0.22141,210.14,-0.901
2026-08-02 15:15:00-07:00,152.881,136.948,0.21821,219.94,15.933
2026-08-02 15:30:00-07:00,149.599,138.186,0.21614,230.59,11.413
2026-08-02 15:45:00-07:00,145.723,135.206,0.22988,232.25,10.517
2026-08-02 16:00:00-07:00,152.582,132.627,0.37402,241.19,19.955
2026-08-02 16:15:00-07:00,148.341,117.696,0.37535,266.12,30.645
2026-08-02 16:30:00-07:00,142.358,107.978,0.36769,266.32,34.38
2026-08-02 16:45:00-07:00,146.883,98.078,0.38855,288.2,48.805
2026-08-02 17:00:00-07:00,142.153,94.235,0.38148,287.19,47.918
2026-08-02 17:15:00-07:00,139.395,89.063,0.37852,305.95,50.332
2026-08-02 17:30:00-07:00,140.929,81.91,0.3855,316.33,59.019
2026-08-02 17:45:00-07:00,141.431,69.894,0.37589,314.26,71.537
2026-08-02 18:00:00-07:00,135.15,57.935,0.38309,342.0,77.215
2026-08-02 18:15:00-07:00,133.561,54.979,0.3814,346.81,78.582
2026-08-02 18:30:00-07:00,134.745,42.233,0.38013,351.08,92.512
2026-08-02 18:45:00-07:00,132.714,33.955,0.38007,360.75,98.759
2026-08-02 19:00:00-07:00,130.319,26.662,0.37972,375.28,103.657
2026-08-02 19:15:00-07:00,127.826,18.336,0.3913,373.47,109.49
2026-08-02 19:30:00-07:00,127.715,9.913,0.38071,384.5,117.802
2026-08-02 19:45:00-07:00,121.93,2.277,0.37303,386.27,119.653
2026-08-02 20:00:00-07:00,118.974,0.0,0.3831,392.01,118.974
2026-08-02 20:15:00-07:00,115.355,0.0,0.36855,386.05,115.355
2026-08-02 20:30:00-07:00,106.398,0.0,0.38316,400.6,106.398
2026-08-02 20:45:00-07:00,109.11,0.0,0.37173,381.89,109.11
2026-08-02 21:00:00-07:00,112.635,0.0,0.20862,392.08,112.635
2026-08-02 21:15:00-07:00,110.382,0.0,0.22082,382.58,110.382
2026-08-02 21:30:00-07:00,114.386,0.0,0.21766,387.35,114.386
2026-08-02 21:45:00-07:00,109.211,0.0,0.20965,368.17,109.211
2026-08-02 22:00:00-07:00,106.881,0.0,0.21242,363.18,106.881
