Profile,Date,1:00 am,2:00 am,3:00 am,4:00 am,5:00 am,6:00 am,7:00 am,8:00 am,9:00 am,10:00 am,11:00 am,12:00 pm,1:00 pm,2:00 pm,3:00 pm,4:00 pm,5:00 pm,6:00 pm,7:00 pm,8:00 pm,9:00 pm,10:00 pm,11:00 pm,12:00 am
E1,01/01/2023,0.70205,0.65575,0.61355,0.58,0.5653,0.5753,0.60355,0.6559,0.69025,0.6973,0.691,0.6869,0.67805,0.67235,0.66875,0.68215,0.75715,0.90505,0.97855,0.97895,0.9549,0.91765,0.84875,0.7615
E1,01/02/2023,0.7046,0.6495,0.61115,0.5909,0.59145,0.61755,0.65755,0.71985,0.7755,0.82535,0.86675,0.8989,0.92055,0.9297,0.9504,0.9859,1.03745,1.12795,1.1504,1.1322,1.08435,1.01875,0.91695,0.8035
E1,01/03/2023,0.72205,0.66045,0.6197,0.59225,0.5928,0.6331,0.69525,0.7641,0.77505,0.75715,0.7489,0.73945,0.7242,0.7102,0.7141,0.7523,0.83055,0.97125,1.0409,1.0381,1.0133,0.96495,0.87195,0.769
E1,01/04/2023,0.69565,0.6427,0.6024,0.5794,0.57815,0.60745,0.67015,0.7543,0.7837,0.7733,0.77385,0.76625,0.7771,0.7788,0.7832,0.794,0.86175,0.98935,1.04235,1.0105,0.96445,0.90045,0.80685,0.6996
E1,01/05/2023,0.63495,0.58475,0.5472,0.5246,0.52455,0.5522,0.6077,0.67825,0.7058,0.7158,0.733,0.7519,0.7626,0.7532,0.7391,0.75,0.80285,0.93585,1.0066,0.99855,0.9627,0.9138,0.82545,0.73225
E1,01/06/2023,0.67085,0.61585,0.57535,0.5575,0.56535,0.6006,0.6615,0.72945,0.73005,0.701,0.6814,0.66495,0.6576,0.6445,0.64035,0.65555,0.74445,0.88095,0.94195,0.9312,0.914,0.8739,0.8154,0.7385
E1,01/07/2023,0.6835,0.6272,0.5864,0.55315,0.54485,0.5605,0.59715,0.6646,0.7326,0.766,0.77435,0.7708,0.78255,0.7924,0.79545,0.8308,0.8906,0.9792,1.01005,0.98295,0.9373,0.89785,0.8299,0.7357
E1,01/08/2023,0.68155,0.62505,0.5753,0.54685,0.53805,0.55075,0.5748,0.63965,0.681,0.6939,0.6858,0.69095,0.70645,0.7078,0.71915,0.7621,0.8381,0.94305,0.9813,0.9663,0.93965,0.8852,0.7876,0.67755
E1,01/09/2023,0.6086,0.564,0.52845,0.51185,0.5111,0.54715,0.61525,0.69845,0.7244,0.7368,0.7314,0.7107,0.69485,0.6677,0.65845,0.68885,0.75285,0.8827,0.9619,0.95425,0.91585,0.8721,0.77925,0.67525
E1,01/10/2023,0.6116,0.5646,0.53415,0.5162,0.5238,0.56035,0.6298,0.7223,0.72685,0.72245,0.7178,0.7008,0.70855,0.7064,0.6935,0.7057,0.7655,0.9272,1.00995,0.99925,0.97385,0.91385,0.81965,0.71425
