bldg_id,in.cec_climate_zone,in.city,in.puma,in.vacancy_status,in.hvac_cooling_type,in.geometry_building_type_recs,in.weather_file_city,weight,study_weight,stratum,out.electricity.total.energy_consumption..kwh
6088,12,"CA, Pleasanton",G06000110,Occupied,None,Multi-Family with 5+ Units,Hayward Air Term,253.90367272727272,634.7591818181819,Multi-Family with 5+ Units | no cooling,1649.990125226
6460,12,"CA, Pleasanton",G06000110,Occupied,Central AC,Single-Family Detached,Hayward Air Term,253.90367272727272,624.9936559440561,Single-Family Detached | cooling installed,8465.9440048674
10253,12,"CA, Livermore",G06000110,Occupied,None,Single-Family Detached,Hayward Air Term,253.90367272727272,622.0639981818182,Single-Family Detached | no cooling,6515.8491037566
12266,12,"CA, Livermore",G06000110,Occupied,Central AC,Single-Family Detached,Hayward Air Term,253.90367272727272,624.9936559440561,Single-Family Detached | cooling installed,15873.3153041724
12578,12,"CA, Livermore",G06000110,Occupied,Central AC,Multi-Family with 2 - 4 Units,Hayward Air Term,253.90367272727272,761.7110181818181,Multi-Family with 2 - 4 Units | cooling installed,5397.7829709436
15357,12,"CA, Dublin",G06000110,Occupied,None,Single-Family Detached,Hayward Air Term,253.90367272727272,622.0639981818182,Single-Family Detached | no cooling,4491.314150815
16852,12,"CA, Pleasanton",G06000110,Occupied,Central AC,Single-Family Detached,Hayward Air Term,253.90367272727272,624.9936559440561,Single-Family Detached | cooling installed,7740.006963982
24927,12,"CA, Livermore",G06000110,Occupied,Central AC,Single-Family Attached,Hayward Air Term,253.90367272727272,646.3002578512395,Single-Family Attached | cooling installed,6514.0906773354
31112,12,"CA, Dublin",G06000110,Occupied,Central AC,Single-Family Detached,Hayward Air Term,253.90367272727272,624.9936559440561,Single-Family Detached | cooling installed,21042.209769289802
32138,12,"CA, Livermore",G06000110,Occupied,Room AC,Single-Family Detached,Hayward Air Term,253.90367272727272,624.9936559440561,Single-Family Detached | cooling installed,2513.3774980352
33456,12,Not in a census Place,G06000110,Occupied,Central AC,Single-Family Detached,Hayward Air Term,253.90367272727272,624.9936559440561,Single-Family Detached | cooling installed,4303.748665887
35999,12,"CA, Livermore",G06000110,Occupied,Central AC,Single-Family Detached,Hayward Air Term,253.90367272727272,624.9936559440561,Single-Family Detached | cooling installed,9920.1626551998
