stratum,population_models,sample_models,represented_dwellings
Mobile Home | cooling installed,43,8,10917.857927272726
Mobile Home | no cooling,9,2,2285.1330545454543
Multi-Family with 2 - 4 Units | cooling installed,90,17,22851.330545454548
Multi-Family with 2 - 4 Units | no cooling,64,12,16249.835054545456
Multi-Family with 5+ Units | cooling installed,130,25,33007.47745454546
Multi-Family with 5+ Units | no cooling,63,12,15995.93138181818
Single-Family Attached | cooling installed,24,5,6093.6881454545455
Single-Family Attached | no cooling,9,2,2285.1330545454543
Single-Family Detached | cooling installed,718,139,182302.83701818186
Single-Family Detached | no cooling,178,34,45194.85374545455
