bldg_id,weight,study_weight,stratum,inclusion_probability,in.county,in.county_name,in.cec_climate_zone,in.geometry_building_type_recs,in.hvac_cooling_type,in.heating_fuel,out.electricity.total.energy_consumption..kwh
4524,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,14673.4823427736
10233,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Ducted Heat Pump,Electricity,24911.9201802106
13077,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Electricity,17956.464471154002
15182,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,7593.1783578118
15584,253.90367272727272,1344.1959144385028,Multi-Family with 2 - 4 Units | cooling installed,0.18888888888888888,G0600190,Fresno County,13,Multi-Family with 2 - 4 Units,Non-Ducted Heat Pump,Electricity,16585.7710758286
18940,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,8982.62830163
21174,253.90367272727272,1142.5665272727272,Mobile Home | no cooling,0.2222222222222222,G0600190,Fresno County,13,Mobile Home,None,Propane,4107.391048853
23224,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Room AC,Propane,9906.9744570408
27276,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,15213.319254082
27679,253.90367272727272,1218.7376290909092,Single-Family Attached | cooling installed,0.20833333333333334,G0600190,Fresno County,13,Single-Family Attached,Central AC,Natural Gas,8665.8184747438
30343,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,18325.734019606
32690,253.90367272727272,1354.1529212121213,Multi-Family with 2 - 4 Units | no cooling,0.1875,G0600190,Fresno County,13,Multi-Family with 2 - 4 Units,None,Electricity,7117.5240108772
34838,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Room AC,Natural Gas,16085.205687927
35936,253.90367272727272,1364.7322409090907,Mobile Home | cooling installed,0.18604651162790697,G0600190,Fresno County,13,Mobile Home,Central AC,Electricity,12172.706900756999
36959,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,14162.659467415002
37851,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,16498.435896909003
41682,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Ducted Heat Pump,Electricity,21020.522510094997
44629,253.90367272727272,1354.1529212121213,Multi-Family with 2 - 4 Units | no cooling,0.1875,G0600190,Fresno County,13,Multi-Family with 2 - 4 Units,None,Electricity,4056.103611568
44803,253.90367272727272,1364.7322409090907,Mobile Home | cooling installed,0.18604651162790697,G0600190,Fresno County,13,Mobile Home,Central AC,Natural Gas,4954.0733706608
45176,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Room AC,Natural Gas,6632.1983186259995
45863,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,4126.440668416
51921,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,8037.1810291648
52805,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,11057.2784075758
56390,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Ducted Heat Pump,Electricity,12964.8780035076
57145,253.90367272727272,1354.1529212121213,Multi-Family with 2 - 4 Units | no cooling,0.1875,G0600190,Fresno County,13,Multi-Family with 2 - 4 Units,None,Electricity,10892.572466123402
58613,253.90367272727272,1329.260404278075,Single-Family Detached | no cooling,0.19101123595505617,G0600190,Fresno County,13,Single-Family Detached,None,Natural Gas,3543.229238718
61522,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,4857.0668464246
62256,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,12305.4680955576
64533,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Wood,16028.6429713784
65859,253.90367272727272,1329.260404278075,Single-Family Detached | no cooling,0.19101123595505617,G0600190,Fresno County,13,Single-Family Detached,None,Natural Gas,7358.1353595114
66026,253.90367272727272,1344.1959144385028,Multi-Family with 2 - 4 Units | cooling installed,0.18888888888888888,G0600190,Fresno County,13,Multi-Family with 2 - 4 Units,Room AC,Natural Gas,4261.8395028484
69918,253.90367272727272,1354.1529212121213,Multi-Family with 2 - 4 Units | no cooling,0.1875,G0600190,Fresno County,13,Multi-Family with 2 - 4 Units,None,Electricity,4284.699046324
70486,253.90367272727272,1344.1959144385028,Multi-Family with 2 - 4 Units | cooling installed,0.18888888888888888,G0600190,Fresno County,13,Multi-Family with 2 - 4 Units,Room AC,Natural Gas,3180.7003248806
72160,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Electricity,14409.1322374532
80324,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,15301.5336462122
83221,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,13255.8975762162
83870,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,13343.525826206002
86433,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Ducted Heat Pump,Electricity,13376.349786068402
87969,253.90367272727272,1329.260404278075,Single-Family Detached | no cooling,0.19101123595505617,G0600190,Fresno County,13,Single-Family Detached,None,Natural Gas,10513.924643425
88197,253.90367272727272,1142.5665272727272,Single-Family Attached | no cooling,0.2222222222222222,G0600190,Fresno County,13,Single-Family Attached,None,Natural Gas,10579.572563149799
90098,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Electricity,9157.8848016096
92006,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,14846.980416331999
93712,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,9415.494272315402
96026,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,13833.5406555804
96468,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,9309.9886870434
97084,253.90367272727272,1354.1529212121213,Multi-Family with 2 - 4 Units | no cooling,0.1875,G0600190,Fresno County,13,Multi-Family with 2 - 4 Units,None,Natural Gas,2558.8035139162002
97851,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,18611.7713841212
99529,253.90367272727272,1320.2990981818182,Multi-Family with 5+ Units | cooling installed,0.19230769230769232,G0600190,Fresno County,13,Multi-Family with 5+ Units,Central AC,Electricity,9797.9520189264
99653,253.90367272727272,1329.260404278075,Single-Family Detached | no cooling,0.19101123595505617,G0600190,Fresno County,13,Single-Family Detached,None,Natural Gas,2336.0695005642
103716,253.90367272727272,1320.2990981818182,Multi-Family with 5+ Units | cooling installed,0.19230769230769232,G0600190,Fresno County,13,Multi-Family with 5+ Units,Room AC,Electricity,4119.7000338014
103875,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,7434.333837763401
106192,253.90367272727272,1311.5312015696536,Single-Family Detached | cooling installed,0.1935933147632312,G0600190,Fresno County,13,Single-Family Detached,Central AC,Electricity,16040.3658141864
107655,253.90367272727272,1332.9942818181817,Multi-Family with 5+ Units | no cooling,0.19047619047619047,G0600190,Fresno County,13,Multi-Family with 5+ Units,None,Electricity,4347.1231842766
108402,253.90367272727272,1329.260404278075,Single-Family Detached | no cooling,0.19101123595505617,G0600190,Fresno County,13,Single-Family Detached,None,Natural Gas,2282.7305657878
