YEAR,MONTH,COUNTY_NUM,COUNTY_NAME,SECTOR,RNR,GWH
2018,January,10,FRESNO,Residential,Residential,189.589075032712
2018,February,10,FRESNO,Residential,Residential,159.303067932981
2018,March,10,FRESNO,Residential,Residential,175.66732329427
2018,April,10,FRESNO,Residential,Residential,152.302895873684
2018,May,10,FRESNO,Residential,Residential,173.047991684074
2018,June,10,FRESNO,Residential,Residential,226.032145503505
2018,July,10,FRESNO,Residential,Residential,343.488800267903
2018,August,10,FRESNO,Residential,Residential,411.720360788241
2018,September,10,FRESNO,Residential,Residential,285.984692080059
2018,October,10,FRESNO,Residential,Residential,211.323210674155
2018,November,10,FRESNO,Residential,Residential,150.110009174064
2018,December,10,FRESNO,Residential,Residential,176.841106362197
2024,January,10,FRESNO,Residential,Residential,219.060938217133
2024,February,10,FRESNO,Residential,Residential,189.781832104717
2024,March,10,FRESNO,Residential,Residential,188.770831254416
2024,April,10,FRESNO,Residential,Residential,175.909289207207
2024,May,10,FRESNO,Residential,Residential,203.373408682173
2024,June,10,FRESNO,Residential,Residential,275.763646314459
2024,July,10,FRESNO,Residential,Residential,450.247117702217
2024,August,10,FRESNO,Residential,Residential,448.909348054693
2024,September,10,FRESNO,Residential,Residential,330.384337477307
2024,October,10,FRESNO,Residential,Residential,285.637560552434
2024,November,10,FRESNO,Residential,Residential,158.943856681189
2024,December,10,FRESNO,Residential,Residential,206.599679941016
