stratum,population_models,sample_models,represented_dwellings
Mobile Home | cooling installed,43,2,10917.857927272726
Mobile Home | no cooling,9,2,2285.1330545454543
Multi-Family with 2 - 4 Units | cooling installed,90,4,22851.330545454548
Multi-Family with 2 - 4 Units | no cooling,64,2,16249.835054545456
Multi-Family with 5+ Units | cooling installed,130,6,33007.47745454546
Multi-Family with 5+ Units | no cooling,63,2,15995.93138181818
Single-Family Attached | cooling installed,24,2,6093.6881454545455
Single-Family Attached | no cooling,9,2,2285.1330545454543
Single-Family Detached | cooling installed,718,34,182302.83701818186
Single-Family Detached | no cooling,178,8,45194.85374545455
